Peak 537 fitted: x0=-17763530.784270037, gamma=10.0, amplitude=-467148.71118423867, offset=649.4130000006987
Peak 1042 fitted: x0=-134061008.15193471, gamma=10.0, amplitude=-5575265.6632419685, offset=4685.017991003479
Peak 1043 fitted: x0=56174516.494928405, gamma=10.0, amplitude=8362458.001306533, offset=4689.320300749344
Peak 1044 fitted: x0=-1526401832.2021508, gamma=10.0, amplitude=-5538145.107452261, offset=4693.49321267638
Peak 1045 fitted: x0=-107915933.96366876, gamma=-24328669.36200631, amplitude=2466146.5814592517, offset=4577.678511691507
Peak 1046 fitted: x0=67140956.9981452, gamma=10.0, amplitude=14731077.17421722, offset=4702.748103186646
Peak 1047 fitted: x0=342046.56397549243, gamma=5499.315352944921, amplitude=550.2909780929806, offset=4697.648520452221
Peak 1048 fitted: x0=61086039.82554558, gamma=10.0, amplitude=10854405.0985958, offset=4711.72213740458
Peak 1049 fitted: x0=-66118452.85310384, gamma=10.0, amplitude=-14446395.498469308, offset=4717.9570552147225
Peak 1050 fitted: x0=1339074839.0977821, gamma=10.0, amplitude=5681348.277280124, offset=4724.02773497401
Peak 1051 fitted: x0=60538397.6081012, gamma=10.0, amplitude=6680613.216974136, offset=4728.261205565175
Peak 1052 fitted: x0=68384062.18746465, gamma=10.0, amplitude=14733300.552303117, offset=4732.133333333333
Peak 1053 fitted: x0=-732979930.2522556, gamma=10.0, amplitude=-5646486.1737698605, offset=4738.221183800623
Peak 1054 fitted: x0=-125147548.62931691, gamma=10.0, amplitude=-5663294.778020596, offset=4744.713615013476
Peak 1055 fitted: x0=57724972.10072238, gamma=10.0, amplitude=8735540.853365347, offset=4749.186813186814
Peak 1056 fitted: x0=-57271848.168938994, gamma=10.0, amplitude=-7005746.061537001, offset=4758.851500786735
Peak 1057 fitted: x0=58177515.09881479, gamma=10.0, amplitude=9201589.613109762, offset=4764.333333329289
Peak 1058 fitted: x0=-62538445.3009613, gamma=10.0, amplitude=-12597897.994612439, offset=4770.066985645933
Peak 1059 fitted: x0=-70965330.519195, gamma=10.0, amplitude=-17136648.2676045, offset=4777.096153841666
Peak 1060 fitted: x0=183499834.70135242, gamma=10.0, amplitude=5563932.085049736, offset=4783.71497584729
Peak 1061 fitted: x0=57593078.96040464, gamma=10.0, amplitude=7860474.007747876, offset=4788.764135705207
Peak 1062 fitted: x0=62556356.131303556, gamma=10.0, amplitude=6656912.291001668, offset=4798.061788617886
Peak 1063 fitted: x0=665379.050677802, gamma=1863.866177104658, amplitude=-1194.552398106817, offset=4808.902540214981
Peak 1064 fitted: x0=107453478.98136099, gamma=10.0, amplitude=5752704.886554454, offset=4814.683690286819
Peak 1065 fitted: x0=66824347.22370232, gamma=10.0, amplitude=6248237.375826727, offset=4821.134105959876
Peak 1066 fitted: x0=66569788.949821524, gamma=10.0, amplitude=13208919.415684516, offset=4824.998338862547
Peak 1067 fitted: x0=2156634888.3537006, gamma=10.0, amplitude=5651951.570015208, offset=4832.103505853509
Peak 1068 fitted: x0=70772605.70408796, gamma=10.0, amplitude=14732770.018305562, offset=4841.317647058823
Peak 1069 fitted: x0=-73726388.3128075, gamma=10.0, amplitude=-6154430.39625561, offset=4845.489038794738
Peak 1070 fitted: x0=-98850853.64905429, gamma=10.0, amplitude=-5911155.012061611, offset=4854.460101867573
Peak 1071 fitted: x0=62220076.22253725, gamma=10.0, amplitude=10065079.30989575, offset=4858.706984673945
Peak 1072 fitted: x0=155040643.3063188, gamma=10.0, amplitude=5809839.137812267, offset=4862.757264957265
Peak 1073 fitted: x0=77526937.34569895, gamma=10.0, amplitude=6086129.01225044, offset=4867.963917525106
Peak 1074 fitted: x0=-59932520.00912686, gamma=10.0, amplitude=-7284524.925418586, offset=4874.278065633606
Peak 1075 fitted: x0=74718130.23545355, gamma=10.0, amplitude=16607428.43925051, offset=4878.700173317325
Peak 1076 fitted: x0=-64734060.08558621, gamma=10.0, amplitude=-6505038.619976409, offset=4882.940869565217
Peak 1077 fitted: x0=65483998.394592576, gamma=10.0, amplitude=11969798.684182614, offset=4896.205623908583
Peak 1078 fitted: x0=-137820273.30543196, gamma=10.0, amplitude=-5703958.0522443075, offset=4910.193605683837
Peak 1079 fitted: x0=-66462895.20509224, gamma=10.0, amplitude=-12156550.215403527, offset=4921.942652329749
Peak 1080 fitted: x0=73895761.77613497, gamma=10.0, amplitude=15019135.332743324, offset=4936.473684210527
Peak 1081 fitted: x0=-71715126.505484, gamma=10.0, amplitude=-6448987.4697932135, offset=4940.686703096539
Peak 1082 fitted: x0=876249.6480445547, gamma=9299.289922023398, amplitude=127.00342579002614, offset=4941.15174766762
Peak 1083 fitted: x0=-366909629.5101879, gamma=10.0, amplitude=-5873285.203839548, offset=4952.025735294117
Peak 1084 fitted: x0=-63586304.65528712, gamma=10.0, amplitude=-7389481.71368476, offset=4956.763837628452
Peak 1085 fitted: x0=67938002.76959974, gamma=10.0, amplitude=6818545.872762006, offset=4965.247211898994
Peak 1086 fitted: x0=63560697.62563145, gamma=10.0, amplitude=9066100.359255735, offset=4971.865420549615
Peak 1087 fitted: x0=333175825.69524485, gamma=10.0, amplitude=5872773.030478644, offset=4985.563327032136
Peak 1088 fitted: x0=97463859.61540508, gamma=10.0, amplitude=5988554.946253479, offset=4992.346007605509
Peak 1089 fitted: x0=65434169.818990625, gamma=10.0, amplitude=10498178.842413556, offset=4997.072519083969
Peak 1090 fitted: x0=72412378.15288733, gamma=10.0, amplitude=13762636.167572, offset=5013.297872332516
Peak 1091 fitted: x0=-76326076.4755172, gamma=10.0, amplitude=-6273025.77002886, offset=5016.205825242719
Peak 1092 fitted: x0=-361807515.8262533, gamma=10.0, amplitude=-5828998.247647856, offset=5025.917647071571
Peak 1093 fitted: x0=-96768285.72130626, gamma=10.0, amplitude=-5946581.1453205105, offset=5032.337278106508
Peak 1094 fitted: x0=-119337590.90053268, gamma=10.0, amplitude=-5994669.722042706, offset=5041.330019880716
Could not fit two peaks.
root@45cc3c24800f:/app# cat > examine.py << 'EOF'
pe)
EOF
> import numpy as np
> import scipy.signal as signal
>
> # Load data
> x_vals = []
> y_vals = []
> with open('/app/graphene.dat', 'r') as f:
>     for line in f:
>         parts = line.strip().split(',')
>         if len(parts) != 3:
>             continue
>         for part in parts:
>             subparts = part.split('\t')
>             if len(subparts) != 2:
>                 continue
>             x_vals.append(float(subparts[0]))
>             y_vals.append(float(subparts[1]))
> x = np.array(x_vals)
> y = np.array(y_vals)
> print('Data shape:', x.shape, y.shape)
> print('x min/max:', x.min(), x.max())
> print('y min/max:', y.min(), y.max())
> print('x decreasing?', np.all(np.diff(x) < 0))
> print('y increasing?', np.all(np.diff(y) > 0))
>
> # Find peaks
> peaks, _ = signal.find_peaks(y, height=0)
> print('Number of peaks:', len(peaks))
> for i, peak in enumerate(peaks):
>     print(f'Peak {i}: x={x[peak]}, y={y[peak]}')
>
> # Let's also look at the last 100 peaks
> if len(peaks) > 100:
>     print('Last 100 peaks:')
>     for i in range(-100, 0):
>         print(f'Peak {i}: x={x[peaks[i]]}, y={y[peaks[i]]}')
>
> # Try to fit Gaussian to each peak
> from scipy.optimize import curve_fit
>
> def gaussian(x, x0, gamma, amplitude, offset):
>     return amplitude * np.exp(-0.5 * ((x - x0) / gamma) ** 2) + offset
>
> for i, peak in enumerate(peaks[:5]):  # only first 5 peaks
>     window = int(0.5 * 1000)
>     left = max(0, peak - window)
>     right = min(len(x), peak + window)
>     x_window = x[left:right]
>     y_window = y[left:right]
>     guess = [x[peak], 10.0, y_window.max() - y_window.min(), y_window.min()]
>     try:
>         popt, pcov = curve_fit(gaussian, x_window, y_window, p0=guess, maxfev=5000)
>         print(f'Peak {i} fitted: x0={popt[0]}, gamma={popt[1]}, amplitude={popt[2]}, offset={popt[3]}')
>     except Exception as e:
>         print(f'Peak {i} fit failed: {e}')
>
> # Let's also check if there are two columns by combining x and y in order
> x_combined = np.concatenate([x, x])
> y_combined = np.concatenate([y, y])
> print('Combined shape:', x_combined.shape, y_combined.shape)
> EOF
root@45cc3c24800f:/app# python3 examine.py
Data shape: (3565,) (3565,)
x min/max: 325.0 999930.0
y min/max: 40.0 79400.0
x decreasing? False
y increasing? False
Number of peaks: 1095
Peak 0: x=360019.0, y=19266.0
Peak 1: x=29137.0, y=19812.0
Peak 2: x=866373.0, y=19764.0
Peak 3: x=250679.0, y=19704.0
Peak 4: x=84116.0, y=19672.0
Peak 5: x=880256.0, y=19652.0
Peak 6: x=980263.0, y=19684.0
Peak 7: x=653398.0, y=19895.0
Peak 8: x=969313.0, y=21252.0
Peak 9: x=840573.0, y=18641.0
Peak 10: x=885014.0, y=16360.0
Peak 11: x=43201.0, y=16289.0
Peak 12: x=582057.0, y=15792.0
Peak 13: x=68097.0, y=15587.0
Peak 14: x=290301.0, y=15091.0
Peak 15: x=879875.0, y=14876.0
Peak 16: x=473461.0, y=14777.0
Peak 17: x=612008.0, y=14669.0
Peak 18: x=656852.0, y=12463.0
Peak 19: x=261824.0, y=12430.0
Peak 20: x=400506.0, y=12443.0
Peak 21: x=107020.0, y=79083.0
Peak 22: x=543541.0, y=79400.0
Peak 23: x=540925.0, y=17175.0
Peak 24: x=583577.0, y=18159.0
Peak 25: x=278584.0, y=16443.0
Peak 26: x=49152.0, y=15515.0
Peak 27: x=328256.0, y=15405.0
Peak 28: x=511778.0, y=15014.0
Peak 29: x=340946.0, y=13935.0
Peak 30: x=299187.0, y=13661.0
Peak 31: x=726300.0, y=13687.0
Peak 32: x=507189.0, y=13356.0
Peak 33: x=531606.0, y=13139.0
Peak 34: x=694449.0, y=13080.0
Peak 35: x=286406.0, y=13107.0
Peak 36: x=36176.0, y=12850.0
Peak 37: x=26082.0, y=12832.0
Peak 38: x=891187.0, y=12780.0
Peak 39: x=957517.0, y=12762.0
Peak 40: x=255569.0, y=12573.0
Peak 41: x=218409.0, y=12794.0
Peak 42: x=751432.0, y=12716.0
Peak 43: x=724393.0, y=12650.0
Peak 44: x=26136.0, y=12501.0
Peak 45: x=359402.0, y=12660.0
Peak 46: x=40784.0, y=12520.0
Peak 47: x=349946.0, y=12619.0
Peak 48: x=327452.0, y=12282.0
Peak 49: x=789952.0, y=12097.0
Peak 50: x=128200.0, y=12021.0
Peak 51: x=326170.0, y=12026.0
Peak 52: x=700422.0, y=11959.0
Peak 53: x=921540.0, y=11839.0
Peak 54: x=403815.0, y=11947.0
Peak 55: x=707171.0, y=12055.0
Peak 56: x=176923.0, y=11882.0
Peak 57: x=304525.0, y=11960.0
Peak 58: x=46637.0, y=11834.0
Peak 59: x=809145.0, y=12025.0
Peak 60: x=564069.0, y=18754.0
Peak 61: x=479764.0, y=18602.0
Peak 62: x=563.0, y=18717.0
Peak 63: x=818167.0, y=18633.0
Peak 64: x=95739.0, y=18758.0
Peak 65: x=940052.0, y=18805.0
Peak 66: x=342050.0, y=18649.0
Peak 67: x=979620.0, y=12012.0
Peak 68: x=708894.0, y=9753.0
Peak 69: x=171312.0, y=9438.0
Peak 70: x=337322.0, y=9405.0
Peak 71: x=157722.0, y=9216.0
Peak 72: x=80140.0, y=9198.0
Peak 73: x=682819.0, y=9253.0
Peak 74: x=640187.0, y=9040.0
Peak 75: x=889515.0, y=9002.0
Peak 76: x=783374.0, y=8853.0
Peak 77: x=552314.0, y=8659.0
Peak 78: x=290608.0, y=8857.0
Peak 79: x=792584.0, y=8654.0
Peak 80: x=956540.0, y=8550.0
Peak 81: x=181052.0, y=8749.0
Peak 82: x=119391.0, y=8490.0
Peak 83: x=757441.0, y=8374.0
Peak 84: x=231346.0, y=8327.0
Peak 85: x=6180.0, y=8342.0
Peak 86: x=734030.0, y=8316.0
Peak 87: x=36914.0, y=8164.0
Peak 88: x=258666.0, y=8363.0
Peak 89: x=612250.0, y=8157.0
Peak 90: x=580310.0, y=7971.0
Peak 91: x=473586.0, y=8075.0
Peak 92: x=313881.0, y=8075.0
Peak 93: x=765456.0, y=7865.0
Peak 94: x=370378.0, y=7868.0
Peak 95: x=224011.0, y=7898.0
Peak 96: x=323208.0, y=7777.0
Peak 97: x=665000.0, y=7736.0
Peak 98: x=246527.0, y=7976.0
Peak 99: x=64851.0, y=7931.0
Peak 100: x=730074.0, y=7694.0
Peak 101: x=912242.0, y=7796.0
Peak 102: x=649734.0, y=7628.0
Peak 103: x=610202.0, y=7580.0
Peak 104: x=963249.0, y=7463.0
Peak 105: x=190419.0, y=7546.0
Peak 106: x=611333.0, y=7459.0
Peak 107: x=917319.0, y=7443.0
Peak 108: x=170590.0, y=7413.0
Peak 109: x=613370.0, y=7416.0
Peak 110: x=72324.0, y=7234.0
Peak 111: x=281615.0, y=7144.0
Peak 112: x=224570.0, y=7111.0
Peak 113: x=903624.0, y=7041.0
Peak 114: x=910660.0, y=6973.0
Peak 115: x=92204.0, y=7058.0
Peak 116: x=971419.0, y=6878.0
Peak 117: x=18968.0, y=6757.0
Peak 118: x=127355.0, y=6806.0
Peak 119: x=421668.0, y=7024.0
Peak 120: x=75284.0, y=6852.0
Peak 121: x=221192.0, y=6707.0
Peak 122: x=508703.0, y=6612.0
Peak 123: x=881652.0, y=6620.0
Peak 124: x=688487.0, y=6655.0
Peak 125: x=735545.0, y=6375.0
Peak 126: x=972851.0, y=6440.0
Peak 127: x=91947.0, y=6528.0
Peak 128: x=313732.0, y=6389.0
Peak 129: x=239913.0, y=6558.0
Peak 130: x=299762.0, y=6520.0
Peak 131: x=25438.0, y=6426.0
Peak 132: x=542707.0, y=6426.0
Peak 133: x=959449.0, y=6443.0
Peak 134: x=877529.0, y=6467.0
Peak 135: x=639246.0, y=6745.0
Peak 136: x=372427.0, y=13777.0
Peak 137: x=916235.0, y=6316.0
Peak 138: x=155742.0, y=6141.0
Peak 139: x=632848.0, y=5746.0
Peak 140: x=966169.0, y=5637.0
Peak 141: x=286671.0, y=5718.0
Peak 142: x=457057.0, y=5535.0
Peak 143: x=29104.0, y=5496.0
Peak 144: x=700189.0, y=5600.0
Peak 145: x=469356.0, y=5523.0
Peak 146: x=298643.0, y=5564.0
Peak 147: x=421732.0, y=5417.0
Peak 148: x=621793.0, y=5384.0
Peak 149: x=96749.0, y=5341.0
Peak 150: x=779135.0, y=5230.0
Peak 151: x=347958.0, y=5265.0
Peak 152: x=370002.0, y=5188.0
Peak 153: x=162761.0, y=5204.0
Peak 154: x=43727.0, y=5223.0
Peak 155: x=67334.0, y=5057.0
Peak 156: x=434740.0, y=5173.0
Peak 157: x=868587.0, y=5033.0
Peak 158: x=177685.0, y=4992.0
Peak 159: x=819280.0, y=4889.0
Peak 160: x=276007.0, y=4807.0
Peak 161: x=188508.0, y=4999.0
Peak 162: x=345421.0, y=4887.0
Peak 163: x=539671.0, y=4780.0
Peak 164: x=973969.0, y=4663.0
Peak 165: x=577928.0, y=4724.0
Peak 166: x=349452.0, y=4766.0
Peak 167: x=286452.0, y=4719.0
Peak 168: x=2087.0, y=4617.0
Peak 169: x=789773.0, y=4683.0
Peak 170: x=105863.0, y=4550.0
Peak 171: x=210712.0, y=4531.0
Peak 172: x=997080.0, y=4469.0
Peak 173: x=936671.0, y=4612.0
Peak 174: x=313981.0, y=4623.0
Peak 175: x=758047.0, y=4563.0
Peak 176: x=48159.0, y=4582.0
Peak 177: x=330469.0, y=4376.0
Peak 178: x=68530.0, y=4488.0
Peak 179: x=795317.0, y=4376.0
Peak 180: x=692257.0, y=4296.0
Peak 181: x=673739.0, y=4270.0
Peak 182: x=822115.0, y=4298.0
Peak 183: x=107776.0, y=4120.0
Peak 184: x=529142.0, y=4151.0
Peak 185: x=884696.0, y=4246.0
Peak 186: x=299408.0, y=4182.0
Peak 187: x=304592.0, y=4115.0
Peak 188: x=894164.0, y=4111.0
Peak 189: x=245070.0, y=4096.0
Peak 190: x=822167.0, y=4093.0
Peak 191: x=694488.0, y=3974.0
Peak 192: x=180296.0, y=3958.0
Peak 193: x=694077.0, y=3861.0
Peak 194: x=971226.0, y=3842.0
Peak 195: x=984906.0, y=4020.0
Peak 196: x=392136.0, y=3790.0
Peak 197: x=360273.0, y=3804.0
Peak 198: x=530899.0, y=3890.0
Peak 199: x=191234.0, y=3690.0
Peak 200: x=774524.0, y=3805.0
Peak 201: x=390208.0, y=3679.0
Peak 202: x=270676.0, y=3843.0
Peak 203: x=199136.0, y=3744.0
Peak 204: x=175204.0, y=3760.0
Peak 205: x=227896.0, y=3556.0
Peak 206: x=385858.0, y=3532.0
Peak 207: x=549105.0, y=3553.0
Peak 208: x=758336.0, y=3472.0
Peak 209: x=480447.0, y=3361.0
Peak 210: x=848108.0, y=3391.0
Peak 211: x=482999.0, y=3269.0
Peak 212: x=961443.0, y=3354.0
Peak 213: x=761137.0, y=3459.0
Peak 214: x=348498.0, y=3258.0
Peak 215: x=978913.0, y=3363.0
Peak 216: x=652071.0, y=3305.0
Peak 217: x=367684.0, y=3249.0
Peak 218: x=925146.0, y=3342.0
Peak 219: x=766413.0, y=3180.0
Peak 220: x=105692.0, y=3195.0
Peak 221: x=34406.0, y=3178.0
Peak 222: x=229489.0, y=3121.0
Peak 223: x=373964.0, y=3110.0
Peak 224: x=557740.0, y=3194.0
Peak 225: x=406495.0, y=3291.0
Peak 226: x=342187.0, y=3125.0
Peak 227: x=363995.0, y=2997.0
Peak 228: x=471024.0, y=2997.0
Peak 229: x=411565.0, y=3014.0
Peak 230: x=714281.0, y=2898.0
Peak 231: x=295313.0, y=2940.0
Peak 232: x=912754.0, y=2945.0
Peak 233: x=406722.0, y=2954.0
Peak 234: x=114227.0, y=2925.0
Peak 235: x=742185.0, y=2890.0
Peak 236: x=538299.0, y=3001.0
Peak 237: x=369445.0, y=3033.0
Peak 238: x=135994.0, y=2868.0
Peak 239: x=51260.0, y=2865.0
Peak 240: x=57346.0, y=2957.0
Peak 241: x=318152.0, y=2685.0
Peak 242: x=471357.0, y=2684.0
Peak 243: x=762584.0, y=2738.0
Peak 244: x=264445.0, y=2717.0
Peak 245: x=72069.0, y=2682.0
Peak 246: x=450563.0, y=2615.0
Peak 247: x=860450.0, y=2653.0
Peak 248: x=773643.0, y=2569.0
Peak 249: x=88310.0, y=2757.0
Peak 250: x=592654.0, y=2581.0
Peak 251: x=246865.0, y=2472.0
Peak 252: x=644233.0, y=2432.0
Peak 253: x=387041.0, y=2476.0
Peak 254: x=960002.0, y=2599.0
Peak 255: x=648283.0, y=2420.0
Peak 256: x=535223.0, y=2552.0
Peak 257: x=450487.0, y=2511.0
Peak 258: x=876101.0, y=2384.0
Peak 259: x=364469.0, y=2469.0
Peak 260: x=915064.0, y=2407.0
Peak 261: x=983072.0, y=2374.0
Peak 262: x=636125.0, y=2401.0
Peak 263: x=771960.0, y=2397.0
Peak 264: x=123981.0, y=2336.0
Peak 265: x=213135.0, y=2506.0
Peak 266: x=145217.0, y=2406.0
Peak 267: x=465720.0, y=2489.0
Peak 268: x=183892.0, y=2845.0
Peak 269: x=581255.0, y=2873.0
Peak 270: x=185198.0, y=2563.0
Peak 271: x=180835.0, y=2322.0
Peak 272: x=715752.0, y=2481.0
Peak 273: x=64117.0, y=2398.0
Peak 274: x=467228.0, y=2342.0
Peak 275: x=99506.0, y=2303.0
Peak 276: x=755786.0, y=2297.0
Peak 277: x=284883.0, y=2330.0
Peak 278: x=618152.0, y=2204.0
Peak 279: x=189861.0, y=2133.0
Peak 280: x=929253.0, y=2208.0
Peak 281: x=661797.0, y=2241.0
Peak 282: x=454626.0, y=2272.0
Peak 283: x=389422.0, y=2001.0
Peak 284: x=412514.0, y=2077.0
Peak 285: x=456867.0, y=2021.0
Peak 286: x=522947.0, y=1897.0
Peak 287: x=662505.0, y=2277.0
Peak 288: x=850248.0, y=2058.0
Peak 289: x=269204.0, y=1981.0
Peak 290: x=583584.0, y=1851.0
Peak 291: x=819173.0, y=1899.0
Peak 292: x=352296.0, y=2166.0
Peak 293: x=967243.0, y=2171.0
Peak 294: x=305134.0, y=2379.0
Peak 295: x=849704.0, y=2389.0
Peak 296: x=439202.0, y=2450.0
Peak 297: x=52664.0, y=12920.0
Peak 298: x=703761.0, y=2848.0
Peak 299: x=5701.0, y=2349.0
Peak 300: x=802336.0, y=1998.0
Peak 301: x=667716.0, y=1753.0
Peak 302: x=111456.0, y=1735.0
Peak 303: x=593189.0, y=1730.0
Peak 304: x=146425.0, y=1668.0
Peak 305: x=196760.0, y=1586.0
Peak 306: x=346745.0, y=1537.0
Peak 307: x=2088.0, y=1600.0
Peak 308: x=125888.0, y=1557.0
Peak 309: x=265805.0, y=1551.0
Peak 310: x=593628.0, y=1360.0
Peak 311: x=781395.0, y=1502.0
Peak 312: x=204211.0, y=1519.0
Peak 313: x=689587.0, y=1338.0
Peak 314: x=955538.0, y=1512.0
Peak 315: x=533590.0, y=1417.0
Peak 316: x=845559.0, y=1421.0
Peak 317: x=514962.0, y=1350.0
Peak 318: x=244546.0, y=1329.0
Peak 319: x=330861.0, y=1353.0
Peak 320: x=164332.0, y=1188.0
Peak 321: x=603086.0, y=1204.0
Peak 322: x=788511.0, y=1175.0
Peak 323: x=263576.0, y=1349.0
Peak 324: x=753045.0, y=1203.0
Peak 325: x=256853.0, y=1274.0
Peak 326: x=78635.0, y=1075.0
Peak 327: x=414087.0, y=1127.0
Peak 328: x=576983.0, y=1119.0
Peak 329: x=985592.0, y=1233.0
Peak 330: x=425189.0, y=1217.0
Peak 331: x=895551.0, y=1029.0
Peak 332: x=559451.0, y=1037.0
Peak 333: x=80637.0, y=1213.0
Peak 334: x=632015.0, y=1158.0
Peak 335: x=213393.0, y=1167.0
Peak 336: x=950862.0, y=1110.0
Peak 337: x=701511.0, y=1140.0
Peak 338: x=465281.0, y=1160.0
Peak 339: x=31929.0, y=1147.0
Peak 340: x=834680.0, y=1217.0
Peak 341: x=397769.0, y=945.0
Peak 342: x=245341.0, y=979.0
Peak 343: x=105571.0, y=1112.0
Peak 344: x=863829.0, y=945.0
Peak 345: x=715362.0, y=1024.0
Peak 346: x=631921.0, y=916.0
Peak 347: x=502041.0, y=990.0
Peak 348: x=455507.0, y=1087.0
Peak 349: x=398951.0, y=1029.0
Peak 350: x=390733.0, y=961.0
Peak 351: x=416036.0, y=765.0
Peak 352: x=491362.0, y=984.0
Peak 353: x=692662.0, y=918.0
Peak 354: x=783086.0, y=822.0
Peak 355: x=940443.0, y=1090.0
Peak 356: x=190481.0, y=864.0
Peak 357: x=332633.0, y=947.0
Peak 358: x=737586.0, y=933.0
Peak 359: x=919258.0, y=1029.0
Peak 360: x=212719.0, y=923.0
Peak 361: x=531178.0, y=883.0
Peak 362: x=757287.0, y=855.0
Peak 363: x=117039.0, y=764.0
Peak 364: x=501351.0, y=910.0
Peak 365: x=771126.0, y=792.0
Peak 366: x=51698.0, y=825.0
Peak 367: x=343024.0, y=1009.0
Peak 368: x=281053.0, y=735.0
Peak 369: x=614926.0, y=871.0
Peak 370: x=959322.0, y=812.0
Peak 371: x=679507.0, y=830.0
Peak 372: x=441244.0, y=741.0
Peak 373: x=39608.0, y=878.0
Peak 374: x=451318.0, y=846.0
Peak 375: x=873221.0, y=682.0
Peak 376: x=525085.0, y=753.0
Peak 377: x=199647.0, y=737.0
Peak 378: x=661880.0, y=759.0
Peak 379: x=134102.0, y=865.0
Peak 380: x=861047.0, y=832.0
Peak 381: x=121930.0, y=895.0
Peak 382: x=643413.0, y=753.0
Peak 383: x=989614.0, y=886.0
Peak 384: x=544981.0, y=847.0
Peak 385: x=684433.0, y=904.0
Peak 386: x=162221.0, y=730.0
Peak 387: x=698824.0, y=684.0
Peak 388: x=329803.0, y=766.0
Peak 389: x=293653.0, y=880.0
Peak 390: x=611045.0, y=963.0
Peak 391: x=283468.0, y=1093.0
Peak 392: x=655616.0, y=1300.0
Peak 393: x=63893.0, y=1027.0
Peak 394: x=781487.0, y=911.0
Peak 395: x=874607.0, y=750.0
Peak 396: x=614450.0, y=663.0
Peak 397: x=363124.0, y=524.0
Peak 398: x=120595.0, y=610.0
Peak 399: x=886830.0, y=571.0
Peak 400: x=52539.0, y=570.0
Peak 401: x=237759.0, y=553.0
Peak 402: x=442385.0, y=638.0
Peak 403: x=78535.0, y=524.0
Peak 404: x=327987.0, y=620.0
Peak 405: x=23475.0, y=678.0
Peak 406: x=752515.0, y=479.0
Peak 407: x=514824.0, y=638.0
Peak 408: x=858237.0, y=632.0
Peak 409: x=764102.0, y=587.0
Peak 410: x=138222.0, y=577.0
Peak 411: x=530620.0, y=443.0
Peak 412: x=941184.0, y=661.0
Peak 413: x=816409.0, y=481.0
Peak 414: x=790730.0, y=558.0
Peak 415: x=772956.0, y=485.0
Peak 416: x=760997.0, y=509.0
Peak 417: x=289966.0, y=557.0
Peak 418: x=830588.0, y=534.0
Peak 419: x=867283.0, y=535.0
Peak 420: x=436703.0, y=708.0
Peak 421: x=555903.0, y=625.0
Peak 422: x=165158.0, y=596.0
Peak 423: x=791323.0, y=505.0
Peak 424: x=434314.0, y=462.0
Peak 425: x=94023.0, y=379.0
Peak 426: x=770350.0, y=600.0
Peak 427: x=463213.0, y=381.0
Peak 428: x=321121.0, y=500.0
Peak 429: x=57601.0, y=628.0
Peak 430: x=398081.0, y=523.0
Peak 431: x=579047.0, y=304.0
Peak 432: x=767120.0, y=524.0
Peak 433: x=962285.0, y=728.0
Peak 434: x=981023.0, y=447.0
Peak 435: x=200789.0, y=399.0
Peak 436: x=427517.0, y=494.0
Peak 437: x=901783.0, y=459.0
Peak 438: x=149263.0, y=395.0
Peak 439: x=403606.0, y=486.0
Peak 440: x=664795.0, y=410.0
Peak 441: x=569340.0, y=547.0
Peak 442: x=489140.0, y=655.0
Peak 443: x=424100.0, y=417.0
Peak 444: x=722458.0, y=557.0
Peak 445: x=682506.0, y=444.0
Peak 446: x=997506.0, y=413.0
Peak 447: x=982416.0, y=448.0
Peak 448: x=313912.0, y=475.0
Peak 449: x=323452.0, y=410.0
Peak 450: x=25640.0, y=449.0
Peak 451: x=386451.0, y=507.0
Peak 452: x=753712.0, y=416.0
Peak 453: x=816654.0, y=352.0
Peak 454: x=199936.0, y=408.0
Peak 455: x=985582.0, y=511.0
Peak 456: x=91421.0, y=493.0
Peak 457: x=503179.0, y=365.0
Peak 458: x=921203.0, y=458.0
Peak 459: x=345466.0, y=499.0
Peak 460: x=493520.0, y=579.0
Peak 461: x=104498.0, y=578.0
Peak 462: x=289505.0, y=330.0
Peak 463: x=961631.0, y=551.0
Peak 464: x=671534.0, y=405.0
Peak 465: x=666435.0, y=312.0
Peak 466: x=928235.0, y=413.0
Peak 467: x=443492.0, y=358.0
Peak 468: x=491693.0, y=338.0
Peak 469: x=563304.0, y=508.0
Peak 470: x=435502.0, y=599.0
Peak 471: x=559199.0, y=532.0
Peak 472: x=917007.0, y=299.0
Peak 473: x=495999.0, y=494.0
Peak 474: x=875112.0, y=493.0
Peak 475: x=468245.0, y=535.0
Peak 476: x=896817.0, y=379.0
Peak 477: x=330474.0, y=601.0
Peak 478: x=776547.0, y=376.0
Peak 479: x=234961.0, y=470.0
Peak 480: x=880737.0, y=408.0
Peak 481: x=188593.0, y=361.0
Peak 482: x=683677.0, y=481.0
Peak 483: x=552473.0, y=558.0
Peak 484: x=241265.0, y=559.0
Peak 485: x=935345.0, y=551.0
Peak 486: x=634702.0, y=447.0
Peak 487: x=193589.0, y=390.0
Peak 488: x=764249.0, y=466.0
Peak 489: x=484534.0, y=336.0
Peak 490: x=940640.0, y=566.0
Peak 491: x=417361.0, y=394.0
Peak 492: x=914550.0, y=546.0
Peak 493: x=670782.0, y=430.0
Peak 494: x=432078.0, y=457.0
Peak 495: x=198417.0, y=579.0
Peak 496: x=969797.0, y=503.0
Peak 497: x=746193.0, y=522.0
Peak 498: x=313953.0, y=421.0
Peak 499: x=2817.0, y=540.0
Peak 500: x=702799.0, y=571.0
